ensembl_gene_id	external_gene_name	B4_WT_2	C4_WT_3	D4_WT_4	E4_GFP_1	F4_GFP_2	G4_GFP_3	H4_GFP_4	A4_WT_1
ENSG00000101882	NKAP	161	271	210	356	321	316	283	222
ENSG00000101883	RHOXF1	0	0	0	0	0	5	9	0
ENSG00000101888	NXT2	18	88	33	35	48	64	37	83
ENSG00000101890	GUCY2F	0	0	0	0	1	0	4	0
ENSG00000101892	ATP1B4	0	0	0	0	0	0	0	0
ENSG00000101901	ALG13	66	115	53	65	76	97	67	86
ENSG00000101911	PRPS2	63	53	7	88	61	49	48	98
ENSG00000101916	TLR8	0	0	0	0	0	0	0	0
ENSG00000101928	MOSPD1	218	212	118	170	133	102	90	137
ENSG00000101935	AMMECR1	173	159	151	181	200	211	212	144
ENSG00000101938	CHRDL1	0	0	0	7	3	2	1	0
ENSG00000101940	WDR13	277	251	294	250	249	245	287	292
ENSG00000101945	SUV39H1	38	74	13	21	30	21	17	27
ENSG00000101951	PAGE4	0	0	0	0	0	0	0	0
ENSG00000101955	SRPX	682	689	328	297	544	400	345	595
ENSG00000101958	GLRA2	1	0	0	0	0	0	0	0
ENSG00000101966	XIAP	439	577	340	670	731	779	710	448
ENSG00000101972	STAG2	517	641	455	786	689	689	657	544
ENSG00000101974	ATP11C	82	105	100	167	228	182	246	162
ENSG00000101977	MCF2	0	0	0	3	1	2	0	0
ENSG00000101981	F9	0	0	0	0	0	0	0	0
ENSG00000101986	ABCD1	41	39	30	42	77	44	63	29
ENSG00000101997	CCDC22	39	64	68	72	49	64	94	41
ENSG00000102001	CACNA1F	0	0	0	0	0	0	2	0
ENSG00000102003	SYP	0	4	0	0	5	0	0	0
ENSG00000102007	PLP2	679	794	611	490	487	415	445	763
ENSG00000102010	BMX	0	0	0	0	0	0	0	0
ENSG00000102021	LUZP4	0	0	0	0	0	0	0	0
ENSG00000102024	PLS3	348	378	266	74	160	121	119	387
ENSG00000102030	NAA10	257	217	119	132	193	204	255	94
ENSG00000102032	RENBP	0	0	0	1	0	2	1	0
ENSG00000102034	ELF4	126	114	130	269	224	234	319	161
ENSG00000102038	SMARCA1	891	911	621	651	721	590	504	765
ENSG00000102043	MTMR8	0	0	0	0	0	0	0	0
ENSG00000102048	ASB9	0	8	0	0	0	0	1	10
ENSG00000102053	ZC3H12B	19	16	14	35	18	24	18	8
ENSG00000102054	RBBP7	269	342	171	300	315	300	266	389
ENSG00000102057	KCND1	5	5	4	11	12	32	15	19
ENSG00000102076	OPN1LW	0	0	0	0	0	0	0	0
ENSG00000102078	SLC25A14	86	100	51	40	46	58	66	78
ENSG00000102081	FMR1	174	223	169	424	398	406	344	163
ENSG00000102096	PIM2	61	71	38	114	78	77	82	60
ENSG00000102098	SCML2	8	9	0	8	21	15	7	18
ENSG00000102100	SLC35A2	179	207	33	231	194	122	128	109
ENSG00000102103	PQBP1	180	174	163	235	290	223	271	139
ENSG00000102104	RS1	0	0	0	0	0	0	0	0
ENSG00000102109	PCSK1N	0	0	0	0	0	0	0	0
ENSG00000102119	EMD	489	508	474	399	448	386	441	436
ENSG00000102125	TAZ	100	112	104	120	104	130	198	103
ENSG00000102128	RAB40AL	7	15	5	3	12	8	6	2
ENSG00000102144	PGK1	721	716	430	522	640	592	545	754
ENSG00000102145	GATA1	0	0	0	0	0	0	0	0
ENSG00000102158	MAGT1	408	394	270	256	405	280	251	311
ENSG00000102172	SMS	460	357	321	378	420	357	331	374
ENSG00000102174	PHEX	13	27	14	2	3	2	7	12
ENSG00000102178	UBL4A	114	121	127	128	195	126	159	103
ENSG00000102181	CD99L2	607	464	511	223	211	291	301	530
ENSG00000102189	EEA1	965	1283	810	1607	1440	1437	1246	931
ENSG00000102195	GPR50	0	0	0	0	0	0	0	0
ENSG00000102218	RP2	15	55	33	29	48	37	40	43
ENSG00000102221	JADE3	32	4	29	14	41	24	23	19
ENSG00000102225	CDK16	381	353	358	350	344	496	522	312
ENSG00000102226	USP11	270	285	286	517	504	547	575	322
ENSG00000102230	PCYT1B	5	10	9	0	0	0	0	0
ENSG00000102239	BRS3	0	0	0	0	0	0	0	0
ENSG00000102241	HTATSF1	237	376	206	260	214	261	224	278
ENSG00000102243	VGLL1	0	0	0	0	0	0	0	0
ENSG00000102245	CD40LG	0	0	0	0	0	0	0	0
ENSG00000102265	TIMP1	1474	1299	1163	3029	3183	3129	3164	1371
ENSG00000102271	KLHL4	0	0	0	0	0	0	0	4
ENSG00000102287	GABRE	517	466	417	121	144	156	139	420
ENSG00000102290	PCDH11X	0	0	0	0	0	0	0	0
ENSG00000102302	FGD1	22	19	27	69	29	41	47	41
ENSG00000102309	PIN4	354	377	143	220	222	183	162	247
ENSG00000102312	PORCN	325	360	194	98	96	102	107	278
ENSG00000102313	ITIH6	0	0	0	0	0	0	0	0
ENSG00000102316	MAGED2	741	802	610	639	655	725	798	606
ENSG00000102317	RBM3	690	992	462	382	309	310	294	710
ENSG00000102349	KLF8	216	176	173	48	77	79	91	178
ENSG00000102359	SRPX2	81	34	43	176	114	117	129	40
ENSG00000102362	SYTL4	37	49	80	60	77	92	90	30
ENSG00000102383	ZDHHC15	0	0	0	0	0	2	0	0
ENSG00000102384	CENPI	67	78	36	17	35	22	32	81
ENSG00000102385	DRP2	1	10	0	1	3	2	4	4
ENSG00000102387	TAF7L	0	0	7	0	0	3	0	0
ENSG00000102390	PBDC1	293	171	144	297	331	343	293	160
ENSG00000102393	GLA	101	148	42	79	117	78	79	81
ENSG00000102401	ARMCX3	1103	1120	744	856	913	947	992	839
ENSG00000102409	BEX4	31	36	9	63	23	19	40	11
ENSG00000102445	KIAA0226L	0	0	0	0	0	0	0	0
ENSG00000102452	NALCN	6	31	18	0	0	9	0	37
ENSG00000102466	FGF14	0	0	0	0	9	0	2	0
ENSG00000102468	HTR2A	15	24	0	6	20	16	10	14
ENSG00000102471	NDFIP2	234	306	106	151	178	172	124	199
ENSG00000102524	TNFSF13B	16	27	30	213	229	275	259	15
ENSG00000102531	FNDC3A	267	271	151	1061	1046	1088	863	200
ENSG00000102539	MLNR	0	0	0	0	0	0	0	0
ENSG00000102543	CDADC1	16	26	47	118	130	112	85	62
ENSG00000102547	CAB39L	27	36	21	66	47	91	68	38
ENSG00000102554	KLF5	141	116	96	549	462	423	577	80
ENSG00000102572	STK24	984	970	542	771	774	624	641	788
ENSG00000102575	ACP5	337	237	224	84	53	120	118	205
ENSG00000102580	DNAJC3	291	476	158	268	333	291	266	410
ENSG00000102595	UGGT2	162	201	121	211	276	186	245	112
ENSG00000102606	ARHGEF7	151	152	139	264	264	236	268	181
ENSG00000102678	FGF9	0	0	0	4	0	0	5	0
ENSG00000102683	SGCG	0	0	0	0	0	0	0	0
ENSG00000102699	PARP4	134	152	67	157	184	157	128	109
ENSG00000102710	SUPT20H	212	316	167	454	433	397	337	172
ENSG00000102738	MRPS31	185	220	89	219	301	320	241	135
ENSG00000102743	SLC25A15	23	11	9	7	0	5	5	0
ENSG00000102753	KPNA3	498	476	364	633	692	723	674	423
ENSG00000102755	FLT1	220	366	252	283	285	236	218	225
ENSG00000102760	RGCC	33	12	0	50	59	35	11	6
ENSG00000102763	VWA8	167	152	71	65	87	56	61	109
ENSG00000102780	DGKH	418	496	392	402	368	266	325	364
ENSG00000102781	KATNAL1	103	244	130	102	157	126	101	81
ENSG00000102786	INTS6	331	252	227	647	728	580	583	226
ENSG00000102794	IRG1	0	0	0	0	0	0	0	0
ENSG00000102796	DHRS12	28	20	0	11	8	20	16	10
ENSG00000102802	MEDAG	0	0	0	0	3	0	0	0
ENSG00000102804	TSC22D1	363	259	182	554	582	435	573	236
ENSG00000102805	CLN5	161	179	121	216	278	180	143	139
ENSG00000102837	OLFM4	25	0	9	44	79	43	60	17
ENSG00000102854	MSLN	0	0	0	0	1	4	5	0
ENSG00000102858	MGRN1	165	253	119	240	232	323	341	201
ENSG00000102870	ZNF629	134	74	139	200	176	201	232	108
ENSG00000102871	TRADD	142	208	132	216	235	307	285	175
ENSG00000102878	HSF4	80	25	23	37	39	10	21	27
ENSG00000102879	CORO1A	0	0	0	0	0	0	0	0
ENSG00000102882	MAPK3	240	246	345	242	230	250	315	150
ENSG00000102886	GDPD3	24	33	0	19	25	10	25	5
ENSG00000102890	ELMO3	0	0	4	0	2	3	5	0
ENSG00000102891	MT4	6	0	0	0	0	0	0	0
ENSG00000102893	PHKB	439	426	242	144	171	147	160	358
ENSG00000102897	LYRM1	40	72	81	93	129	118	99	43
ENSG00000102898	NUTF2	1194	1312	882	906	912	1092	1185	904
ENSG00000102900	NUP93	454	569	413	435	485	392	440	359
ENSG00000102901	CENPT	126	65	81	45	54	63	56	61
ENSG00000102904	TSNAXIP1	11	15	14	5	19	12	7	4
ENSG00000102908	NFAT5	479	723	341	1230	1361	1240	1036	459
ENSG00000102910	LONP2	483	431	388	415	534	475	543	452
ENSG00000102921	N4BP1	345	443	449	509	759	580	525	328
ENSG00000102924	CBLN1	0	0	0	0	0	0	0	0
ENSG00000102931	ARL2BP	317	290	196	170	201	233	208	262
ENSG00000102934	PLLP	9	39	17	5	0	1	0	4
ENSG00000102935	ZNF423	0	0	0	0	0	0	0	0
ENSG00000102962	CCL22	0	0	0	0	0	0	0	0
ENSG00000102967	DHODH	35	20	10	34	14	64	37	4
ENSG00000102970	CCL17	0	0	0	0	0	0	0	0
ENSG00000102974	CTCF	279	349	313	282	356	402	359	228
ENSG00000102977	ACD	71	112	107	123	82	128	139	149
ENSG00000102978	POLR2C	170	145	154	289	265	255	252	132
ENSG00000102981	PARD6A	29	0	0	6	0	18	3	0
ENSG00000102984	ZNF821	36	36	7	35	33	32	31	28
ENSG00000102996	MMP15	48	24	19	15	12	10	14	8
ENSG00000103005	USB1	346	324	273	190	248	187	200	284
ENSG00000103018	CYB5B	481	596	244	525	499	448	440	517
ENSG00000103021	CCDC113	6	10	19	12	41	34	18	22
ENSG00000103023	PRSS54	0	0	0	0	0	0	0	0
ENSG00000103024	NME3	225	221	163	145	196	184	244	194
ENSG00000103034	NDRG4	154	161	76	73	76	72	106	111
ENSG00000103035	PSMD7	604	654	478	542	540	562	541	444
ENSG00000103037	SETD6	48	42	37	47	79	83	83	11
ENSG00000103042	SLC38A7	197	209	217	340	298	358	302	236
ENSG00000103043	VAC14	51	40	57	83	64	92	81	54
ENSG00000103044	HAS3	60	62	41	3	4	3	0	42
ENSG00000103047	TANGO6	46	66	75	40	48	48	51	47
ENSG00000103051	COG4	207	252	234	178	227	198	195	207
ENSG00000103056	SMPD3	0	0	0	0	6	0	2	8
ENSG00000103061	SLC7A6OS	136	114	124	256	242	273	376	100
ENSG00000103064	SLC7A6	99	129	52	42	81	75	72	92
ENSG00000103066	PLA2G15	120	127	140	75	157	112	191	98
ENSG00000103067	ESRP2	0	0	0	0	0	0	0	0
ENSG00000103089	FA2H	0	0	0	0	0	0	0	0
ENSG00000103091	WDR59	174	179	125	190	166	113	181	139
ENSG00000103111	MON1B	253	318	189	328	289	330	416	257
ENSG00000103121	CMC2	138	155	57	86	171	120	115	90
ENSG00000103126	AXIN1	119	73	89	109	111	110	118	72
ENSG00000103145	HCFC1R1	631	507	461	483	574	590	631	467
ENSG00000103148	NPRL3	144	176	69	113	132	103	127	98
ENSG00000103150	MLYCD	48	27	34	24	30	40	48	46
ENSG00000103152	MPG	252	368	161	368	366	291	245	155
ENSG00000103154	NECAB2	0	0	0	0	0	3	0	0
ENSG00000103160	HSDL1	80	61	43	38	71	60	68	53
ENSG00000103168	TAF1C	145	154	136	145	174	164	171	110
ENSG00000103174	NAGPA	61	93	29	78	80	132	75	73
ENSG00000103175	WFDC1	74	50	67	44	74	58	57	80
ENSG00000103184	SEC14L5	0	0	0	0	0	0	0	0
ENSG00000103187	COTL1	1151	1333	659	808	1028	674	784	958
ENSG00000103194	USP10	356	309	277	610	558	460	617	323
ENSG00000103196	CRISPLD2	98	49	57	214	270	149	140	75
ENSG00000103197	TSC2	365	259	214	180	232	236	251	317
ENSG00000103199	ZNF500	141	138	89	165	153	183	271	117
ENSG00000103202	NME4	595	659	569	705	724	823	901	536
ENSG00000103222	ABCC1	135	140	57	132	112	60	81	201
ENSG00000103226	NOMO3	5	0	4	0	0	6	0	0
ENSG00000103227	LMF1	63	27	7	43	70	37	62	43
ENSG00000103241	FOXF1	60	54	43	118	99	128	137	57
ENSG00000103245	NARFL	58	116	87	98	91	99	104	52
ENSG00000103248	MTHFSD	49	63	44	68	67	41	61	66
ENSG00000103249	CLCN7	234	206	216	370	395	456	502	125
ENSG00000103253	HAGHL	80	95	74	67	42	69	103	47
ENSG00000103254	FAM173A	77	78	120	42	113	67	82	59
ENSG00000103257	SLC7A5	2337	2397	2153	357	311	519	554	1977
ENSG00000103260	METRN	298	411	280	188	175	306	252	224
ENSG00000103264	FBXO31	172	132	135	193	158	177	180	150
ENSG00000103266	STUB1	719	713	664	467	459	632	645	506
ENSG00000103269	RHBDL1	14	19	0	0	11	3	11	13
ENSG00000103274	NUBP1	69	52	121	125	129	96	113	39
ENSG00000103275	UBE2I	676	658	530	933	1001	1119	1148	616
ENSG00000103310	ZP2	0	0	0	0	0	0	0	0
ENSG00000103313	MEFV	0	0	0	0	0	4	4	0
ENSG00000103316	CRYM	0	0	0	17	34	22	19	3
ENSG00000103319	EEF2K	179	261	142	104	94	86	114	180
ENSG00000103326	CAPN15	88	137	79	213	175	176	240	59
ENSG00000103335	PIEZO1	236	338	152	490	449	439	606	146
ENSG00000103342	GSPT1	614	705	628	1152	940	1119	1087	655
ENSG00000103343	ZNF174	47	12	8	35	50	33	30	8
ENSG00000103351	CLUAP1	177	213	160	316	416	385	393	217
ENSG00000103353	UBFD1	224	243	103	186	218	178	183	210
ENSG00000103355	PRSS33	0	0	0	0	0	0	0	0
ENSG00000103356	EARS2	105	107	55	54	61	67	69	72
ENSG00000103363	TCEB2	1702	1866	1332	1137	1250	1229	1035	1822
ENSG00000103365	GGA2	290	223	181	131	126	151	178	233
ENSG00000103375	AQP8	0	0	0	11	3	7	4	0
ENSG00000103381	CPPED1	88	69	27	82	39	41	41	50
ENSG00000103404	USP31	363	427	175	109	107	105	84	372
ENSG00000103415	HMOX2	404	436	300	188	207	256	181	267
ENSG00000103423	DNAJA3	110	169	103	188	138	198	181	65
ENSG00000103426	CORO7-PAM16	0	0	0	0	0	0	0	0
ENSG00000103429	BFAR	275	356	210	408	355	388	429	274
ENSG00000103449	SALL1	94	55	81	107	156	197	135	83
ENSG00000103460	TOX3	0	0	0	0	0	0	3	0
ENSG00000103479	RBL2	263	254	117	132	161	138	164	131
ENSG00000103485	QPRT	189	169	92	299	417	371	356	155
ENSG00000103489	XYLT1	88	91	36	88	109	77	55	89
ENSG00000103490	PYCARD	374	352	337	443	542	454	495	410
ENSG00000103494	RPGRIP1L	90	85	44	77	101	100	88	125
ENSG00000103495	MAZ	324	322	124	220	162	176	241	334
ENSG00000103496	STX4	322	343	311	586	701	597	732	324
ENSG00000103502	CDIPT	375	354	203	445	552	389	428	336
ENSG00000103507	BCKDK	236	202	154	219	299	192	258	200
ENSG00000103510	KAT8	40	78	77	61	89	86	103	24
ENSG00000103512	NOMO1	276	273	176	124	188	151	238	268
ENSG00000103522	IL21R	0	15	6	12	0	4	5	13
ENSG00000103528	SYT17	2	0	0	0	6	3	0	8
ENSG00000103534	TMC5	0	0	0	1	0	0	3	0
ENSG00000103540	CCP110	195	263	190	262	263	308	265	237
ENSG00000103544	C16orf62	202	344	226	171	251	252	225	248
ENSG00000103546	SLC6A2	86	180	87	0	0	0	0	103
ENSG00000103549	RNF40	232	209	351	412	329	360	350	209
ENSG00000103550	KNOP1	264	273	327	316	309	439	458	302
ENSG00000103569	AQP9	0	0	0	0	0	0	0	0
ENSG00000103591	AAGAB	297	368	184	408	534	423	387	266
ENSG00000103599	IQCH	45	23	7	11	29	22	16	3
ENSG00000103642	LACTB	100	210	104	158	179	192	123	171
ENSG00000103647	CORO2B	1	8	3	23	8	13	47	4
ENSG00000103653	CSK	130	128	111	111	105	106	111	85
ENSG00000103657	HERC1	390	329	302	298	338	300	330	431
ENSG00000103671	TRIP4	119	147	31	103	111	101	60	61
ENSG00000103707	MTFMT	108	150	99	56	64	45	37	132
ENSG00000103710	RASL12	0	0	0	0	11	0	8	0
ENSG00000103723	AP3B2	1	0	0	4	0	2	0	0
ENSG00000103740	ACSBG1	0	0	0	5	0	1	2	0
ENSG00000103742	IGDCC4	12	0	0	2	8	3	3	7
ENSG00000103769	RAB11A	522	580	224	441	553	412	351	522
ENSG00000103811	CTSH	7	18	0	0	0	0	0	3
ENSG00000103852	TTC23	145	82	71	153	166	113	130	109
ENSG00000103855	CD276	368	318	286	482	467	543	655	346
ENSG00000103876	FAH	193	175	188	206	203	219	289	199
ENSG00000103888	CEMIP	40	22	39	57	49	37	37	97
ENSG00000103932	RPAP1	70	123	96	179	181	178	186	69
ENSG00000103942	HOMER2	1	0	1	4	3	12	11	8
ENSG00000103966	EHD4	87	103	98	206	272	216	166	104
ENSG00000103978	TMEM87A	580	598	324	604	779	628	558	569
ENSG00000103994	ZNF106	2531	2347	2217	1089	1270	1428	1355	2230
ENSG00000103995	CEP152	190	164	254	118	167	154	165	170
ENSG00000104043	ATP8B4	3	1	0	6	0	13	4	6
ENSG00000104044	OCA2	0	0	0	0	0	0	0	0
ENSG00000104047	DTWD1	170	212	183	286	422	330	303	181
ENSG00000104055	TGM5	5	0	0	0	0	0	0	0
ENSG00000104059	FAM189A1	0	0	0	0	0	0	0	0
ENSG00000104064	GABPB1	97	104	53	173	221	194	169	102
ENSG00000104067	TJP1	217	174	179	459	353	374	358	161
ENSG00000104081	BMF	2	0	1	0	8	13	6	0
ENSG00000104093	DMXL2	184	178	84	174	174	135	139	130
ENSG00000104112	SCG3	0	0	0	2	0	0	0	0
ENSG00000104129	DNAJC17	36	80	31	70	34	48	49	13
ENSG00000104131	EIF3J	555	769	417	890	817	864	812	537
ENSG00000104133	SPG11	154	218	161	235	284	207	227	166
ENSG00000104140	RHOV	0	0	19	5	7	12	15	0
ENSG00000104142	VPS18	146	171	132	191	185	245	282	124
ENSG00000104147	OIP5	74	107	23	20	11	4	18	62
ENSG00000104154	SLC30A4	78	50	45	52	47	64	57	20
ENSG00000104164	BLOC1S6	559	625	445	428	529	509	395	483
ENSG00000104177	MYEF2	4	22	0	53	40	56	52	15
ENSG00000104205	SGK3	41	58	40	44	47	37	24	20
ENSG00000104213	PDGFRL	7	16	6	9	46	4	18	3
ENSG00000104218	CSPP1	380	211	162	375	383	366	356	167
ENSG00000104219	ZDHHC2	17	21	17	57	95	75	54	4
ENSG00000104221	BRF2	34	72	8	65	64	44	34	57
ENSG00000104228	TRIM35	245	243	130	73	99	102	83	136
ENSG00000104231	ZFAND1	22	34	3	43	63	56	46	41
ENSG00000104237	RP1	0	0	0	2	0	1	0	0
ENSG00000104267	CA2	0	0	0	0	0	0	0	0
ENSG00000104290	FZD3	10	13	0	7	0	0	2	0
ENSG00000104299	INTS9	46	45	10	18	54	43	59	36
ENSG00000104312	RIPK2	51	45	32	166	206	149	143	42
ENSG00000104313	EYA1	7	1	0	1	4	8	8	13
ENSG00000104320	NBN	264	241	146	441	593	509	404	216
ENSG00000104321	TRPA1	0	1	15	10	9	3	3	5
ENSG00000104324	CPQ	336	239	284	346	344	298	278	290
ENSG00000104325	DECR1	414	399	184	347	402	245	262	258
ENSG00000104327	CALB1	4	0	10	0	0	0	0	0
ENSG00000104331	IMPAD1	549	657	384	550	595	533	507	486
ENSG00000104332	SFRP1	175	193	186	2023	2231	2312	2177	142
ENSG00000104341	LAPTM4B	346	318	144	141	244	167	135	271
ENSG00000104343	UBE2W	88	132	26	141	123	86	91	135
ENSG00000104356	POP1	103	100	89	107	80	97	99	70
ENSG00000104361	NIPAL2	153	153	49	96	101	113	114	111
ENSG00000104365	IKBKB	228	225	209	210	261	271	271	138
ENSG00000104368	PLAT	162	161	95	201	211	260	174	190
ENSG00000104369	JPH1	31	12	4	1	0	0	0	19
ENSG00000104371	DKK4	0	0	0	0	0	0	0	0
ENSG00000104375	STK3	84	126	90	239	235	187	154	122
ENSG00000104381	GDAP1	45	29	11	47	59	41	49	21
ENSG00000104388	RAB2A	1230	1129	877	1108	1222	1367	1292	1034
ENSG00000104408	EIF3E	630	542	204	391	396	312	290	524
ENSG00000104412	EMC2	129	136	32	156	172	182	177	81
ENSG00000104413	ESRP1	65	53	71	0	1	0	0	78
ENSG00000104415	WISP1	0	11	0	2	3	1	3	2
ENSG00000104419	NDRG1	1386	1536	1288	424	489	508	488	1458
ENSG00000104427	ZC2HC1A	222	337	237	349	340	362	357	262
ENSG00000104432	IL7	8	14	3	15	35	24	32	0
ENSG00000104435	STMN2	0	0	0	0	2	0	11	0
ENSG00000104442	ARMC1	265	386	328	326	390	477	440	278
ENSG00000104447	TRPS1	529	362	337	790	849	1000	1011	347
ENSG00000104450	SPAG1	6	25	33	32	45	29	14	13
ENSG00000104472	CHRAC1	239	187	79	346	285	275	253	169
ENSG00000104490	NCALD	0	2	2	5	2	3	0	0
ENSG00000104497	SNX16	51	23	12	50	123	81	53	24
ENSG00000104499	GML	0	0	0	0	0	0	0	0
ENSG00000104517	UBR5	562	520	639	725	697	629	717	548
ENSG00000104518	GSDMD	235	160	223	147	172	175	239	152
ENSG00000104522	TSTA3	227	280	236	277	300	382	328	146
ENSG00000104524	PYCRL	22	32	70	59	70	86	61	47
ENSG00000104529	EEF1D	2284	2221	2147	1546	1671	2064	2137	1721
ENSG00000104537	ANXA13	0	0	0	0	0	0	0	0
ENSG00000104549	SQLE	395	510	388	399	332	388	418	419
ENSG00000104611	SH2D4A	49	92	38	145	172	171	135	33
ENSG00000104613	INTS10	191	167	100	175	109	84	117	115
ENSG00000104626	ERI1	92	88	38	84	61	53	46	65
ENSG00000104635	SLC39A14	169	231	88	420	300	260	246	251
ENSG00000104643	MTMR9	304	319	172	215	243	312	340	293
ENSG00000104660	LEPROTL1	190	284	115	385	453	335	281	144
ENSG00000104671	DCTN6	142	115	47	182	165	120	103	86
ENSG00000104679	R3HCC1	208	180	154	107	104	119	154	130
ENSG00000104687	GSR	444	568	330	319	457	361	327	339
ENSG00000104689	TNFRSF10A	12	24	4	27	34	49	55	5
ENSG00000104691	UBXN8	35	99	0	54	81	67	63	32
ENSG00000104695	PPP2CB	402	346	255	559	575	579	600	291
ENSG00000104714	ERICH1	216	280	119	260	236	285	247	128
ENSG00000104722	NEFM	0	0	0	0	0	0	7	0
ENSG00000104723	TUSC3	288	454	173	215	196	246	189	328
ENSG00000104728	ARHGEF10	280	341	244	169	215	199	298	255
ENSG00000104731	KLHDC4	50	69	48	88	74	72	118	67
ENSG00000104738	MCM4	341	259	188	214	219	321	337	236
ENSG00000104755	ADAM2	0	0	0	0	3	0	0	0
ENSG00000104756	KCTD9	98	156	128	176	164	159	138	107
ENSG00000104760	FGL1	0	0	0	0	0	0	0	0
ENSG00000104763	ASAH1	389	285	300	308	400	391	369	408
ENSG00000104765	BNIP3L	452	533	256	423	562	606	493	451
ENSG00000104774	MAN2B1	8	0	4	10	11	6	4	12
ENSG00000104783	KCNN4	17	12	31	13	12	33	42	51
ENSG00000104804	TULP2	0	0	0	0	0	0	9	0
ENSG00000104805	NUCB1	924	869	857	778	840	1154	1124	834
ENSG00000104808	DHDH	11	0	1	10	5	19	25	13
ENSG00000104812	GYS1	201	206	165	116	122	191	177	192
ENSG00000104814	MAP4K1	0	0	0	7	4	1	0	0
ENSG00000104818	CGB2	0	0	0	0	0	0	0	0
ENSG00000104823	ECH1	507	536	539	300	341	390	428	351
ENSG00000104824	HNRNPL	744	675	284	639	638	503	572	377
ENSG00000104825	NFKBIB	90	93	108	252	263	265	371	96
ENSG00000104826	LHB	0	0	0	0	0	2	7	0
ENSG00000104827	CGB	0	0	0	0	0	0	0	0
ENSG00000104833	TUBB4A	0	0	0	0	0	0	0	0
ENSG00000104835	SARS2	84	47	63	61	36	97	82	70
ENSG00000104848	KCNA7	0	4	0	0	0	0	1	0
ENSG00000104852	SNRNP70	861	786	482	1015	1044	1052	1194	604
ENSG00000104853	CLPTM1	209	319	273	320	337	509	520	201
ENSG00000104856	RELB	149	187	103	561	433	621	659	141
ENSG00000104859	CLASRP	143	131	64	202	163	252	263	93
ENSG00000104863	LIN7B	19	37	53	56	58	38	38	29
ENSG00000104866	PPP1R37	174	147	166	94	98	211	153	116
ENSG00000104870	FCGRT	78	75	48	356	313	358	362	79
ENSG00000104872	PIH1D1	309	396	248	261	306	267	277	285
ENSG00000104879	CKM	0	0	0	0	0	0	0	0
ENSG00000104880	ARHGEF18	0	0	0	0	0	0	0	0
ENSG00000104881	PPP1R13L	22	0	0	13	5	4	8	4
ENSG00000104883	PEX11G	39	27	23	6	29	12	23	12
ENSG00000104884	ERCC2	92	95	73	88	51	60	110	79
ENSG00000104885	DOT1L	32	85	49	142	77	107	135	26
ENSG00000104886	PLEKHJ1	118	88	68	95	130	128	109	55
ENSG00000104888	SLC17A7	0	2	0	2	7	4	5	0
ENSG00000104889	RNASEH2A	112	62	81	96	110	113	71	96
ENSG00000104892	KLC3	0	0	0	3	5	0	8	0
ENSG00000104894	CD37	0	8	0	0	3	0	0	7
ENSG00000104897	SF3A2	167	133	87	203	172	230	284	82
ENSG00000104899	AMH	12	2	29	20	15	12	11	3
ENSG00000104901	DKKL1	0	0	0	0	0	3	0	4
ENSG00000104903	LYL1	5	0	5	13	3	6	8	0
ENSG00000104904	OAZ1	3079	2968	1697	4162	4191	3309	3045	3060
ENSG00000104907	TRMT1	77	67	30	117	131	221	175	58
ENSG00000104915	STX10	80	97	51	95	68	96	91	83
ENSG00000104918	RETN	0	0	0	0	0	0	0	0
ENSG00000104921	FCER2	0	0	0	0	0	0	0	0
ENSG00000104936	DMPK	68	60	34	67	92	111	92	61
ENSG00000104938	CLEC4M	0	0	0	0	0	0	1	0
ENSG00000104941	RSPH6A	0	0	0	1	5	0	0	0
ENSG00000104946	TBC1D17	101	144	88	136	161	196	188	91
ENSG00000104951	IL4I1	0	0	0	12	8	38	19	0
ENSG00000104953	TLE6	3	0	0	0	0	5	0	0
ENSG00000104957	CCDC130	223	177	234	260	220	451	369	159
ENSG00000104960	PTOV1	263	167	174	267	292	282	328	246
ENSG00000104964	AES	1190	910	639	1029	930	1302	1275	849
ENSG00000104967	NOVA2	0	0	0	0	0	0	0	0
ENSG00000104969	SGTA	253	201	241	238	254	217	321	119
ENSG00000104970	KIR3DX1	1	0	0	0	0	0	0	0
ENSG00000104972	LILRB1	0	0	0	0	0	0	0	0
ENSG00000104973	MED25	142	189	158	296	289	402	466	114
ENSG00000104974	LILRA1	0	0	0	0	0	0	0	0
ENSG00000104976	SNAPC2	119	113	101	250	245	275	274	120
ENSG00000104979	C19orf53	512	670	459	778	784	773	704	573
ENSG00000104980	TIMM44	163	102	170	420	313	441	506	139
ENSG00000104983	CCDC61	27	12	73	33	40	29	13	19
ENSG00000104998	IL27RA	34	66	36	125	90	92	100	78
ENSG00000105011	ASF1B	88	54	31	90	77	79	91	59
ENSG00000105048	TNNT1	21	41	29	38	65	63	54	10
ENSG00000105053	VRK3	171	135	186	242	233	285	234	171
ENSG00000105058	FAM32A	481	591	418	701	667	888	906	344
ENSG00000105063	PPP6R1	306	305	277	550	508	651	765	257
ENSG00000105072	C19orf44	48	37	54	57	38	74	60	14
ENSG00000105085	MED26	71	84	38	96	104	107	86	72
ENSG00000105088	OLFM2	84	57	39	8	11	6	34	38
ENSG00000105122	RASAL3	22	22	19	9	29	18	24	19
ENSG00000105127	AKAP8	118	191	141	274	185	312	327	122
ENSG00000105131	EPHX3	0	0	0	0	0	0	0	0
ENSG00000105135	ILVBL	215	157	94	211	230	191	162	125
